SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99994.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
99992.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0
99991.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0
99989.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,7.0
99987.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,9.0
99985.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,15.0,10.0
99981.0,6.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,19.0,14.0
99977.0,8.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,23.0,17.0
99973.0,11.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,27.0,21.0
99968.0,11.0,9.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,7.0,32.0,25.0
99961.0,13.0,10.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,9.0,39.0,30.0
99948.0,11.0,18.0,3.0,6.0,0.0,1.0,0.0,0.0,0.0,13.0,52.0,39.0
99946.0,12.0,17.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,15.0,54.0,39.0
99939.0,14.0,17.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,18.0,61.0,43.0
99927.0,14.0,18.0,4.0,11.0,2.0,0.0,0.0,0.0,0.0,24.0,73.0,49.0
99908.0,18.0,22.0,9.0,13.0,1.0,0.0,0.0,0.0,0.0,29.0,92.0,63.0
99892.0,21.0,26.0,9.0,14.0,2.0,0.0,0.0,0.0,0.0,36.0,108.0,72.0
99868.0,26.0,37.0,11.0,15.0,3.0,0.0,0.0,0.0,0.0,40.0,132.0,92.0
99848.0,28.0,48.0,12.0,15.0,3.0,0.0,0.0,0.0,0.0,46.0,152.0,106.0
99825.0,33.0,54.0,9.0,21.0,6.0,0.0,0.0,0.0,0.0,52.0,175.0,123.0
99785.0,45.0,69.0,8.0,24.0,9.0,1.0,0.0,0.0,0.0,59.0,215.0,156.0
99734.0,53.0,88.0,12.0,28.0,12.0,0.0,0.0,0.0,0.0,73.0,266.0,193.0
99680.0,63.0,103.0,17.0,43.0,11.0,1.0,0.0,0.0,0.0,82.0,320.0,238.0
99623.0,72.0,120.0,22.0,60.0,10.0,1.0,0.0,0.0,0.0,92.0,377.0,285.0
99556.0,79.0,132.0,29.0,77.0,13.0,1.0,0.0,0.0,0.0,113.0,444.0,331.0
99476.0,97.0,139.0,36.0,97.0,12.0,2.0,0.0,1.0,0.0,140.0,524.0,383.0
99352.0,126.0,185.0,42.0,105.0,16.0,0.0,0.0,1.0,0.0,173.0,648.0,474.0
99227.0,151.0,224.0,41.0,120.0,23.0,2.0,0.0,1.0,0.0,211.0,773.0,561.0
99080.0,173.0,278.0,52.0,133.0,28.0,0.0,0.0,1.0,0.0,255.0,920.0,664.0
