Date,Confirmed_Cases,Hospitalizations,Deaths
02/01/2020,0,1,0
02/02/2020,0,0,0
02/03/2020,0,0,0
02/04/2020,0,0,0
02/05/2020,0,0,0
02/06/2020,0,0,0
02/07/2020,0,0,0
02/08/2020,0,2,0
02/09/2020,0,0,0
02/10/2020,0,0,0
02/11/2020,0,3,0
02/12/2020,0,1,0
02/13/2020,0,0,0
02/14/2020,0,0,0
02/15/2020,0,2,0
02/16/2020,0,0,0
02/17/2020,0,1,0
02/18/2020,0,1,0
02/19/2020,0,3,0
02/20/2020,0,3,0
02/21/2020,1,4,0
02/22/2020,1,4,0
02/23/2020,1,2,0
02/24/2020,1,5,0
02/25/2020,1,1,0
02/26/2020,2,1,2
02/27/2020,3,10,0
02/28/2020,9,7,2
02/29/2020,16,4,1
03/01/2020,12,4,3
03/02/2020,18,14,2
03/03/2020,15,12,3
03/04/2020,25,10,2
03/05/2020,38,21,4
03/06/2020,25,15,4
03/07/2020,21,11,0
03/08/2020,43,14,5
03/09/2020,36,14,3
03/10/2020,71,19,2
03/11/2020,62,16,2
03/12/2020,99,26,4
03/13/2020,121,13,3
03/14/2020,75,16,4
03/15/2020,46,13,4
03/16/2020,136,24,6
03/17/2020,124,18,7
03/18/2020,148,13,4
03/19/2020,159,26,5
03/20/2020,119,22,7
03/21/2020,82,23,4
03/22/2020,79,21,14
03/23/2020,203,43,9
03/24/2020,177,25,9
03/25/2020,180,33,9
03/26/2020,173,28,16
03/27/2020,212,34,9
03/28/2020,97,40,14
03/29/2020,125,38,8
03/30/2020,233,38,4
03/31/2020,201,37,5
04/01/2020,179,38,12
04/02/2020,178,40,11
04/03/2020,202,47,13
04/04/2020,95,26,12
04/05/2020,74,32,16
04/06/2020,165,24,13
04/07/2020,192,30,15
04/08/2020,144,22,10
04/09/2020,160,30,7
04/10/2020,134,31,12
04/11/2020,72,24,10
04/12/2020,36,17,5
04/13/2020,147,16,8
04/14/2020,131,19,5
04/15/2020,136,22,5
04/16/2020,127,25,12
04/17/2020,146,23,7
04/18/2020,57,20,11
04/19/2020,41,20,12
04/20/2020,124,17,6
04/21/2020,108,22,14
04/22/2020,115,20,5
04/23/2020,102,13,5
04/24/2020,94,13,8
04/25/2020,68,17,10
04/26/2020,45,15,9
04/27/2020,123,6,6
04/28/2020,97,16,5
04/29/2020,120,14,6
04/30/2020,83,6,4
05/01/2020,134,9,7
